Orbit75 1990/08/25
File: c9023715.0ep
   LOCALTIME        LSHELL       UT
      16.5711      1.13028    90600000
      16.8555      1.11107    90660000
      17.1511      1.09532    90720000
      17.4574      1.08320    90780000
      17.7735      1.07485    90840000
      18.0983      1.07036    90900000
      18.4304      1.06988    90960000
      18.7679      1.07362    91020000
      19.1088      1.08178    91080000
      19.4509      1.09446    91140000
