CRRES EMIC wave events, their positions, and magnetospheric conditions
Data:
          orbit           year        yearday           xpos           ypos           zpos             ls            mlt           mlat     phase
             88           1990    243.0694427  19737.3730469  22062.4902344   2646.8576660      4.8182340      4.6816263      0.4658764  recovery
             88           1990    243.0701447  19724.0937500  22243.5117188   2699.5156250      4.8392601      4.6992102      0.5444850  recovery
             88           1990    243.0708313  19705.4902344  22418.5332031   2751.4455566      4.8594241      4.7160802      0.6210538  recovery
             88           1990    243.0715332  19686.8867188  22593.5527344   2803.3754883      4.8795881      4.7329502      0.6976226  recovery
             88           1990    243.0722198  19668.2812500  22768.5742188   2855.3056641      4.8997521      4.7498198      0.7741914  recovery
             88           1990    243.0729218  19649.6777344  22943.5937500   2907.2355957      4.9199162      4.7666898      0.8507602  recovery
             88           1990    243.0736084  19631.0742188  23118.6152344   2959.1655273      4.9400802      4.7835598      0.9273290  recovery
             88           1990    243.0743103  19607.4902344  23287.7734375   3010.3452148      4.9593701      4.7997856      1.0020272  recovery
             88           1990    243.0749969  19583.9062500  23456.9316406   3061.5251465      4.9786601      4.8160119      1.0767254  recovery
             88           1990    243.0756989  19560.3203125  23626.0898438   3112.7048340      4.9979501      4.8322377      1.1514236  recovery
             88           1990    243.0763855  19536.7363281  23795.2480469   3163.8847656      5.0172400      4.8484640      1.2261218  recovery
             88           1990    243.0770874  19513.1523438  23964.4062500   3215.0644531      5.0365300      4.8646898      1.3008200  recovery
             91           1990    244.5625000 -12016.3173828  20914.9003906   7936.7915039      5.3437319      9.2259264     28.8878593 pre-onset
             91           1990    244.5632019 -12080.5117188  20704.8964844   7889.2695312      5.3106399      9.2517500     28.8894997 pre-onset
             92           1990    244.6819458  18932.9687500  12972.5781250    351.1513062      3.6454821      3.5919380     -4.6194181      main
             92           1990    244.6826324  18988.2636719  13214.6279297    409.3432922      3.6739399      3.6197400     -4.4505601      main
             92           1990    244.6833344  19032.5449219  13449.0234375    467.3009033      3.7016740      3.6455419     -4.2972159      main
             92           1990    244.6840210  19076.8242188  13683.4189453    525.2585449      3.7294080      3.6713440     -4.1438723      main
             92           1990    244.6847229  19121.1054688  13917.8154297    583.2161865      3.7571418      3.6971459     -3.9905281      main
             92           1990    244.6854095  19165.3847656  14152.2109375    641.1737671      3.7848759      3.7229481     -3.8371840      main
             92           1990    244.6861115  19209.6660156  14386.6064453    699.1314087      3.8126099      3.7487500     -3.6838400      main
             92           1990    244.6867981  19243.9746094  14613.5439453    756.7290039      3.8395700      3.7728419     -3.5441661      main
             92           1990    244.6875000  19278.2832031  14840.4804688    814.3265991      3.8665299      3.7969339     -3.4044921      main
             92           1990    244.6882019  19312.5937500  15067.4179688    871.9241943      3.8934901      3.8210261     -3.2648180      main
             92           1990    244.6888885  19346.9023438  15294.3544922    929.5217896      3.9204500      3.8451180     -3.1251440      main
             92           1990    244.6895905  19381.2109375  15521.2919922    987.1193848      3.9474101      3.8692100     -2.9854701      main
             92           1990    244.6902771  19406.4472656  15740.9716797   1044.2572021      3.9736221      3.8918281     -2.8576760      main
             92           1990    244.6909790  19431.6835938  15960.6513672   1101.3950195      3.9998341      3.9144461     -2.7298820      main
             92           1990    244.6916656  19456.9218750  16180.3320312   1158.5328369      4.0260463      3.9370639     -2.6020880      main
             92           1990    244.6923676  19482.1582031  16400.0117188   1215.6706543      4.0522580      3.9596820     -2.4742939      main
             92           1990    244.6930542  19507.3945312  16619.6914062   1272.8084717      4.0784702      3.9823000     -2.3464999      main
             92           1990    244.7486115  17505.7304688  29947.7617188   5351.5849609      5.5982199      5.2592402      3.3713601      main
             92           1990    244.7492981  17446.8320312  30067.8964844   5395.4291992      5.6108341      5.2715659      3.4111421      main
             92           1990    244.7500000  17387.9355469  30188.0312500   5439.2739258      5.6234479      5.2838922      3.4509242      main
             92           1990    244.7507019  17329.0371094  30308.1679688   5483.1181641      5.6360621      5.2962179      3.4907060      main
             92           1990    244.7513885  17270.1406250  30428.3027344   5526.9628906      5.6486759      5.3085442      3.5304880      main
            100           1990    248.0215302  17986.1562500  27593.5019531   4840.5278320      5.3606124      4.9758921      0.5159214     quiet
            100           1990    248.0222168  17937.4003906  27733.7656250   4888.4916992      5.3759041      4.9895740      0.5798538     quiet
            100           1990    248.0229187  17888.6464844  27874.0273438   4936.4550781      5.3911963      5.0032563      0.6437862     quiet
            100           1990    248.0236053  17839.8906250  28014.2910156   4984.4189453      5.4064879      5.0169382      0.7077186     quiet
            100           1990    248.0243073  17791.1347656  28154.5527344   5032.3828125      5.4217801      5.0306201      0.7716510     quiet
            100           1990    248.0249939  17739.0371094  28289.5273438   5079.4013672      5.4364061      5.0439401      0.8341748     quiet
            100           1990    248.0256958  17686.9414062  28424.5019531   5126.4204102      5.4510322      5.0572600      0.8966986     quiet
            100           1990    248.0263824  17634.8437500  28559.4765625   5173.4389648      5.4656577      5.0705800      0.9592224     quiet
            107           1990    250.8520813  18832.8632812  16127.5292969   1608.3159180      3.9726901      3.7224400     -7.0694399     quiet
            107           1990    250.8527832  18849.5664062  16347.1669922   1668.7696533      3.9986861      3.7457981     -6.9580798     quiet
            107           1990    250.8534698  18866.2714844  16566.8046875   1729.2232666      4.0246820      3.7691560     -6.8467197     quiet
            107           1990    250.8541718  18882.9746094  16786.4433594   1789.6770020      4.0506783      3.7925141     -6.7353601     quiet
            107           1990    250.8548584  18899.6796875  17006.0800781   1850.1306152      4.0766740      3.8158720     -6.6240001     quiet
