1990	7	28	7	7	29	8	7	30	20
1990	8	1	11	8	1	23	8	5	3
1990	8	15	10	8	16	15	8	17	22
1990	8	20	2	8	20	14	8	21	7
1990	8	21	7	8	22	11	8	26	1
1990	8	26	7	8	26	14	8	28	17
1990	8	29	19	8	30	18	9	1	6
1990	9	1	14	9	1	20	9	3	2
1990	9	18	4	9	18	16	9	20	15
1990	10	8	15	10	10	9	10	13	13
1990	10	20	7	10	20	22	10	22	19
1990	10	23	20	10	24	6	10	26	0
1990	10	29	21	10	30	3	11	1	19
1990	11	16	2	11	16	12	11	18	20
1990	11	27	14	11	27	22	11	29	12
1990	12	23	19	12	24	23	12	26	10
1991	1	25	16	1	26	7	1	27	10
1991	1	31	20	2	1	0	2	3	22
1991	3	4	19	3	5	16	3	7	16
1991	3	8	14	3	9	10	3	10	0
1991	3	10	0	3	10	5	3	11	10
1991	3	12	6	3	13	0	3	15	3
1991	3	24	5	3	24	11	3	24	13
1991	3	24	13	3	25	1	3	28	17
1991	3	30	2	3	30	21	3	31	22
1991	4	1	0	4	1	14	4	3	6
1991	4	3	6	4	3	11	4	4	11
1991	4	4	12	4	4	21	4	8	10
1991	4	9	5	4	9	18	4	10	18
1991	4	23	17	4	25	4	4	25	18
1991	4	26	2	4	29	18	5	4	10
1991	5	13	10	5	4	18	5	15	3
1991	5	16	22	5	17	10	5	19	2
1991	5	22	2	5	25	6	5	28	11
1991	5	28	16	5	29	4	5	30	6
1991	5	31	7	5	31	17	6	1	6
1991	6	1	7	6	1	11	6	4	6
1991	6	4	17	6	5	20	6	8	0
1991	6	9	17	6	9	20	6	10	6
1991	6	10	7	6	10	14	6	10	23
1991	6	11	0	6	11	7	6	12	20
1991	6	13	8	6	13	22	6	16	18
1991	6	17	21	6	18	3	6	21	2
1991	6	22	23	6	23	1	6	27	8
1991	6	30	10	6	30	22	7	1	13
1991	7	2	15	7	3	8	7	4	10
1991	7	7	23	7	8	10	7	8	17
1991	7	8	18	7	9	15	7	11	16
1991	7	12	20	7	13	16	7	16	10
1991	7	16	17	7	17	7	7	19	15
1991	7	19	21	7	20	11	7	23	20
1991	8	1	10	8	2	14	8	5	21
1991	8	5	22	8	6	5	8	10	0
1991	8	11	6	8	11	15	8	12	2
1991	8	12	3	8	12	22	8	14	11
1991	8	14	17	8	15	0	8	18	20
1991	8	19	6	8	19	9	8	20	9
1991	8	20	10	8	20	13	8	22	1
1991	8	22	22	8	22	10	8	24	8
1991	8	27	17	8	27	23	8	29	4
1991	8	29	10	8	30	22	9	7	17
1991	9	9	6	9	10	5	9	11	6
1991	9	11	10	9	11	17	9	12	20
1991	9	24	10	9	27	11	9	1	7
1991	10	1	19	10	2	4	10	5	9
1991	10	6	9	10	6	18	10	7	18
1991	10	7	22	10	18	19	10	9	17
1991	10	9	22	10	10	7	10	12	14
