1990	7	28	3	31	0
1990	8	1	7	41	0
1990	8	13	10	27	0
1990	8	26	5	43	0
1990	8	29	11	22	0
1990	8	30	10	56	0
1990	9	1	10	24	0
1990	9	1	12	39	0
1990	9	11	5	37	0
1990	10	9	13	16	0
1990	10	26	11	34	0
1990	10	29	20	11	0
1990	11	26	23	32	0
1990	12	8	14	25	0
1990	12	21	17	24	0
1991	1	12	1	51	0
1991	1	23	20	30	0
1991	2	1	18	42	0
1991	2	4	22	14	0
1991	2	22	5	34	0
1991	3	4	16	19	0
1991	3	9	22	45	0
1991	3	12	4	53	0
1991	3	16	15	59	0
1991	3	21	6	0	0
1991	3	24	1	47	0
1991	3	24	3	41	0
1991	4	4	11	22	0
1991	4	19	10	56	0
1991	4	23	10	41	0
1991	4	24	20	45	0
1991	5	13	8	57	0
1991	5	16	20	41	0
1991	5	21	12	27	0
1991	5	22	0	18	0
1991	5	31	10	39	0
1991	6	4	3	37	0
1991	6	4	15	36	0
1991	6	7	22	28	0
1991	6	9	0	40	0
1991	6	9	16	17	0
1991	6	10	17	16	0
1991	6	12	10	12	0
1991	6	17	10	19	0
1991	6	17	19	22	0
1991	6	30	1	16	0
1991	7	2	8	11	0
1991	7	6	15	28	0
1991	7	8	16	36	0
1991	7	12	9	24	0
1991	7	16	16	0	0
1991	7	19	19	4	0
1991	7	30	5	57	0
1991	8	2	5	33	0
1991	8	5	20	46	0
1991	8	11	2	53	0
1991	8	18	18	33	0
1991	8	20	8	0	0
1991	8	27	15	15	0
1991	9	9	5	16	0
1991	10	1	18	14	0
1991	10	7	13	58	0
